"","Time","C.BLANK..2","C.GEV1_1..3","C.GEV1_2..4","C.GEV1_3..5","C.GEV2_1..6","C.GEV2_2..7","C.GEV2_3..8","C.GEV3_1..9","C.GEV3_2..10","C.GEV3_3..11","C.YBR196C.A1_1..12","C.MEDIA..13","C.MEDIA..14","C.YBR196C.A1_2..15","C.YBR196C.A1_3..16","C.YBR196C.A2_1..17","C.YBR196C.A2_2..18","C.YBR196C.A2_3..19","C.YBR196C.A3_1..20","C.YBR196C.A3_2..21","C.YBR196C.A3_3..22","C.YEL035C1_1..23","C.YEL035C1_2..24","C.MEDIA..25","C.MEDIA..26","C.YEL035C1_3..27","C.YEL035C2_1..28","C.YEL035C2_2..29","C.YEL035C2_3..30","C.YEL035C3_1..31","C.YEL035C3_2..32","C.YEL035C3_3..33","C.YEL035C4_1..34","C.YEL035C4_2..35","C.YEL035C4_3..36","C.MEDIA..37","C.YPR126C1_1..38","C.YPR126C1_2..39","C.YPR126C1_3..40","C.YPR126C2_1..41","C.YPR126C2_2..42","C.YPR126C2_3..43","C.YPR126C3_1..44","C.YPR126C3_2..45","C.YPR126C3_3..46","C.YPR126C4_1..47","C.YPR126C4_2..48","C.YPR126C4_3..49","C.BLANK..50","C.GEV1_1..51","C.GEV1_2..52","C.GEV1_3..53","C.GEV2_1..54","C.GEV2_2..55","C.GEV2_3..56","C.GEV3_1..57","C.GEV3_2..58","C.GEV3_3..59","C.YBR196C.A1_1..60","C.MEDIA..61","C.MEDIA..62","C.YBR196C.A1_2..63","C.YBR196C.A1_3..64","C.YBR196C.A2_1..65","C.YBR196C.A2_2..66","C.YBR196C.A2_3..67","C.YBR196C.A3_1..68","C.YBR196C.A3_2..69","C.YBR196C.A3_3..70","C.YEL035C1_1..71","C.YEL035C1_2..72","C.MEDIA..73","C.MEDIA..74","C.YEL035C1_3..75","C.YEL035C2_1..76","C.YEL035C2_2..77","C.YEL035C2_3..78","C.YEL035C3_1..79","C.YEL035C3_2..80","C.YEL035C3_3..81","C.YEL035C4_1..82","C.YEL035C4_2..83","C.YEL035C4_3..84","C.MEDIA..85","C.YPR126C1_1..86","C.YPR126C1_2..87","C.YPR126C1_3..88","C.YPR126C2_1..89","C.YPR126C2_2..90","C.YPR126C2_3..91","C.YPR126C3_1..92","C.YPR126C3_2..93","C.YPR126C3_3..94","C.YPR126C4_1..95","C.YPR126C4_2..96","C.YPR126C4_3..97"
"11",150,0.006,0.0102257296496064,0.0197200828731447,0.0221785587848568,0.0172603687747584,0.0169088795653983,0.0116334783848448,0.0126890196547467,0.0116334783848448,0.00494298264797487,0.00846546273535587,0.0365537035101639,0.0095217004713,0.0519352883201883,0.0860339321156157,0.0557735362468344,0.0256885331102208,0.0634416426315072,0.0901947524935473,0.0888081530232789,0.0235828489125,0.0915810130342125,0.0235828489125,0.0158542592707776,0.00811333168420076,0.0316497799520121,0.0147994095515625,0.00916964710867769,0.0123371982654216,0.0133925854326093,0.00987372797820027,0.00705678283002508,0.0183146840194875,0.0133925854326093,0.00106523706515277,0.00459059132023676,0.0211250774209491,0.0207738666168744,0.0277933199991864,0.0116334783848448,0.0330513901687029,0.0270918238008,0.0204226306043673,0.0162058248336357,0.0144477419008512,0.00318076441789437,0.0024756937287,0.0190174340654589,0.0260393931201609,0.0634416426315072,0.0439006766110656,0.0327010244157888,0.0435510609664659,0.0714465345140739,0.0599575171136232,0.0790923579578577,0.0267410384452227,0.0228807540228096,0.0260393931201609,0.0207738666168744,0.0239338587773163,0.0564710973038592,0.0463473188008875,0.0501896954636088,0.0351530708845131,0.0263902282250856,0.0463473188008875,0.0522843365861184,0.112335129905663,0.0512371215436257,0.157748311525099,0.0183146840194875,0.0211250774209491,0.0480942080064,0.0526333614641181,0.0540292275013689,0.0383039477348544,0.0449493803853903,0.0295466267813019,0.0355032655589952,0.0797869056505803,0.0543781357431336,0.0024756937287,0.0151510516499688,0.0263902282250856,0.0390038759038392,0.0473955233577816,0.0452989006577664,0.0253376481750375,0.0442502683822677,0.0407532739400187,0.0323506341421875,0.0519352883201883,0.110953797959541,0.0169088795653983,0.0214762630368192
"12",165,0.006,0.0098737279782003,0.0200713693632,0.0225296689574799,0.0186660717073728,0.0183146840194875,0.0112815798531375,0.0119853511821969,0.0123371982654216,0.00494298264797492,0.0277933199991864,0.0369038008705536,0.00881756787010563,0.0540292275013689,0.0940061573248704,0.0575172653509899,0.0263902282250856,0.0693594478668333,0.0960840347050056,0.0967764935688,0.0228807540228096,0.101621385214951,0.0253376481750375,0.0169088795653983,0.00740899175176324,0.0312993159949824,0.0147994095515625,0.00846546273535592,0.0130408153704,0.0126890196547467,0.00846546273535592,0.00635228697437131,0.0183146840194875,0.0126890196547467,7.11805580313506e-06,0.00388573022779924,0.0214762630368192,0.0221785587848568,0.0274425843120453,0.0133925854326093,0.0351530708845131,0.0295466267813019,0.0225296689574799,0.0155026682162979,0.0137443298616024,0.00318076441789442,0.0010652370651528,0.0183146840194875,0.0249867382943832,0.0658791762223443,0.0449493803853903,0.0379539473649123,0.0459978698452872,0.0763132923531513,0.0641381942001048,0.0801341468019264,0.0267410384452227,0.0225296689574799,0.0270918238008,0.0204226306043673,0.0228807540228096,0.0571685657800968,0.0494912938974912,0.0519352883201883,0.0351530708845131,0.0295466267813019,0.0470461455369069,0.0613514415030456,0.123374438431189,0.0501896954636088,0.176237319031272,0.0183146840194875,0.0204226306043673,0.0449493803853903,0.0540292275013689,0.0536802959728128,0.0418026239345304,0.0452989006577664,0.0320002193276712,0.0355032655589952,0.0860339321156157,0.0554247209499573,0.0024756937287,0.0147994095515625,0.0260393931201609,0.0376039227777,0.0505388609726079,0.0470461455369069,0.0284947169820672,0.0456483971376561,0.0421523592495351,0.0344526083780433,0.0561223283580591,0.111989826802483,0.0158542592707776,0.0232318140010737
"13",180,0.006,0.0098737279782003,0.0190174340654589,0.0221785587848568,0.0186660717073728,0.0186660717073728,0.0126890196547467,0.0137443298616024,0.0119853511821969,0.00494298264797487,0.0183146840194875,0.0372538739529897,0.00846546273535587,0.0592604173423104,0.106116611503984,0.0627450001003464,0.0270918238008,0.0690115218216,0.100583534546334,0.1036965331776,0.0253376481750375,0.108535697451919,0.0298972139486016,0.0169088795653983,0.00705678283002508,0.0316497799520121,0.0155026682162979,0.0098737279782003,0.0133925854326093,0.0133925854326093,0.00811333168420081,0.006,0.0183146840194875,0.0126890196547467,0.0007125570968625,0.00459059132023681,0.0232318140010737,0.0228807540228096,0.0298972139486016,0.0165573649251,0.0383039477348544,0.0341023405056,0.0260393931201609,0.0179632709815752,0.0140960486776071,0.00318076441789437,0.0010652370651528,0.0179632709815752,0.0260393931201609,0.0700552327872231,0.0459978698452872,0.0369038008705536,0.0477448775075367,0.0811757397186375,0.0707509282823625,0.0877679802192552,0.0274425843120453,0.0239338587773163,0.0288453783182625,0.0218274234847125,0.0235828489125,0.0571685657800968,0.0494912938974912,0.0533313411372375,0.0362035818515928,0.0281440308824511,0.0501896954636088,0.0620482664448,0.126475665334577,0.0557735362468344,0.184780927064045,0.0190174340654589,0.0207738666168744,0.0508880029925376,0.0589118329917063,0.0599575171136232,0.0432014214282408,0.0459978698452872,0.0312993159949824,0.0337520481933807,0.0929669359398537,0.0564710973038592,0.0010652370651528,0.0155026682162979,0.0263902282250856,0.0404034425245896,0.0561223283580591,0.0498405064453125,0.0295466267813019,0.0505388609726079,0.0435510609664659,0.0386539239077541,0.0592604173423104,0.119581931974889,0.0172603687747584,0.0253376481750375
"14",195,0.006,0.0116334783848448,0.0197200828731447,0.0228807540228096,0.0193687711139736,0.0193687711139736,0.0126890196547467,0.0140960486776071,0.0126890196547467,0.00670454791097042,0.0197200828731447,0.0383039477348544,0.00916964710867769,0.0679676091030129,0.112680413120321,0.0676195932684288,0.0284947169820672,0.0745756622607168,0.105425262120113,0.12682015053601,0.0260393931201609,0.130263958745491,0.0334017314211576,0.0183146840194875,0.0077611746964125,0.0341023405056,0.0169088795653983,0.0116334783848448,0.0151510516499688,0.0151510516499688,0.00916964710867769,0.0077611746964125,0.0200713693632,0.0140960486776071,0.0014178906922539,0.0042381738535875,0.0242848436157504,0.0253376481750375,0.0337520481933807,0.0197200828731447,0.0428517579761625,0.0362035818515928,0.0288453783182625,0.0183146840194875,0.0137443298616024,0.0042381738535875,0.0024756937287,0.0197200828731447,0.0263902282250856,0.0717943042067136,0.0484435148745993,0.0383039477348544,0.0505388609726079,0.0822171372541416,0.0766607523140904,0.0874212133288281,0.0288453783182625,0.0242848436157504,0.0291960149112648,0.0214762630368192,0.0242848436157504,0.0613514415030456,0.0526333614641181,0.0561223283580591,0.0372538739529897,0.0284947169820672,0.0505388609726079,0.0644864359240119,0.139552889246515,0.0554247209499573,0.198771455725711,0.0186660717073728,0.0214762630368192,0.0529823629744152,0.0627450001003464,0.0616998653948127,0.0445998363003,0.0484435148745993,0.0320002193276712,0.0351530708845131,0.0953914924843008,0.0610029947492709,0.00282824219332231,0.0165573649251,0.0263902282250856,0.0428517579761625,0.0842993483661312,0.0526333614641181,0.0320002193276712,0.0494912938974912,0.0477448775075367,0.0449493803853903,0.0627450001003464,0.120616484349606,0.0176118325734081,0.0277933199991864
"15",210,0.006,0.0109296555668472,0.0225296689574799,0.0232318140010737,0.0197200828731447,0.0200713693632,0.0133925854326093,0.0172603687747584,0.0130408153704,0.00740899175176319,0.0320002193276712,0.0393538037433375,0.0095217004713,0.0790923579578577,0.123029761727693,0.0759658104,0.0316497799520121,0.0801341468019264,0.116132155848365,0.136458080273438,0.0281440308824511,0.143333423072588,0.0372538739529897,0.0190174340654589,0.00811333168420081,0.0327010244157888,0.0176118325734081,0.0119853511821969,0.0155026682162979,0.0140960486776071,0.00916964710867769,0.0077611746964125,0.0200713693632,0.0137443298616024,0.00177051799839356,0.00494298264797487,0.0249867382943832,0.0281440308824511,0.0376039227777,0.0239338587773163,0.0445998363003,0.0393538037433375,0.0291960149112648,0.0193687711139736,0.0140960486776071,0.00459059132023681,0.00282824219332231,0.0186660717073728,0.0249867382943832,0.0731851606278144,0.0519352883201883,0.0369038008705536,0.0547270207183347,0.0860339321156157,0.0822171372541416,0.0908879250491691,0.0295466267813019,0.0267410384452227,0.0309488274363543,0.0214762630368192,0.0235828489125,0.0651828513521817,0.0543781357431336,0.0596089787095401,0.0400535870334849,0.0323506341421875,0.0512371215436257,0.0672715549359375,0.138865282472018,0.0589118329917063,0.218520799089638,0.0190174340654589,0.0204226306043673,0.0557735362468344,0.0655310250969,0.0630933327463611,0.0491420577999171,0.0466967440246848,0.0334017314211576,0.0379539473649123,0.103004898982678,0.0648346549679616,0.0010652370651528,0.0165573649251,0.0253376481750375,0.0428517579761625,0.0683156024599176,0.0536802959728128,0.0327010244157888,0.0512371215436257,0.0498405064453125,0.0425020705900032,0.0669234940853112,0.123719095893454,0.0172603687747584,0.0284947169820672
"16",225,0.006,0.0119853511821969,0.0214762630368192,0.0242848436157504,0.0221785587848568,0.0204226306043673,0.0137443298616024,0.0155026682162979,0.0147994095515625,0.00670454791097037,0.0102257296496064,0.0411030813,0.00846546273535587,0.0836053643191224,0.135082130208324,0.0804813661835661,0.0327010244157888,0.0846463080890625,0.121306088883768,0.154319006277538,0.0302477764333917,0.163916735514038,0.0400535870334849,0.0214762630368192,0.00811333168420081,0.0341023405056,0.0193687711139736,0.0119853511821969,0.0165573649251,0.0155026682162979,0.0098737279782003,0.00811333168420081,0.0207738666168744,0.0144477419008512,0.0021231190037997,0.00564768696762869,0.0260393931201609,0.0302477764333917,0.0390038759038392,0.0263902282250856,0.0473955233577816,0.0411030813,0.0302477764333917,0.0204226306043673,0.0151510516499688,0.006,0.00282824219332231,0.0193687711139736,0.0256885331102208,0.0777030004459125,0.0557735362468344,0.0393538037433375,0.0564710973038592,0.0898481344512,0.0888081530232789,0.0929669359398537,0.0302477764333917,0.0263902282250856,0.0309488274363543,0.0225296689574799,0.0228807540228096,0.0669234940853112,0.0571685657800968,0.0613514415030456,0.0425020705900032,0.0316497799520121,0.0540292275013689,0.0717943042067136,0.153975980272529,0.0606545251132608,0.232114106923538,0.0193687711139736,0.0211250774209491,0.0599575171136232,0.0686635733593707,0.0662273047487424,0.0459978698452872,0.0519352883201883,0.0330513901687029,0.0372538739529897,0.10680787987737,0.0658791762223443,0.00282824219332231,0.0155026682162979,0.0256885331102208,0.0470461455369069,0.0697073515152984,0.0571685657800968,0.0337520481933807,0.0585632256375,0.0512371215436257,0.0470461455369069,0.0693594478668333,0.126475665334577,0.0197200828731447,0.0330513901687029
"17",240,0.006,0.0116334783848448,0.0218274234847125,0.0249867382943832,0.0211250774209491,0.0214762630368192,0.0126890196547467,0.0162058248336357,0.0137443298616024,0.00705678283002508,0.0172603687747584,0.0425020705900032,0.00881756787010558,0.0898481344512,0.147798510177946,0.0898481344512,0.0330513901687029,0.0922740166104999,0.132329338216181,0.169395191008314,0.0358534358746125,0.182389714496628,0.0421523592495351,0.0207738666168744,0.00881756787010558,0.0330513901687029,0.0200713693632,0.0130408153704,0.0162058248336357,0.0165573649251,0.0095217004713,0.00846546273535587,0.0211250774209491,0.0140960486776071,0.00141789069225387,0.00529534785702958,0.0270918238008,0.0327010244157888,0.0407532739400187,0.0291960149112648,0.0487927981323624,0.0435510609664659,0.0302477764333917,0.0190174340654589,0.0147994095515625,0.006,0.00388573022779919,0.0186660717073728,0.0256885331102208,0.0787450513760256,0.0571685657800968,0.0432014214282408,0.0603060325747875,0.0964302745464027,0.0922740166104999,0.1002375431979,0.0302477764333917,0.0284947169820672,0.0323506341421875,0.0228807540228096,0.0225296689574799,0.0704030917028352,0.0578659418373696,0.0599575171136232,0.0407532739400187,0.0309488274363543,0.0543781357431336,0.0731851606278144,0.160833213493817,0.0627450001003464,0.2507717064543,0.0197200828731447,0.0204226306043673,0.0623966446732353,0.0766607523140904,0.0707509282823625,0.0519352883201883,0.0540292275013689,0.0365537035101639,0.0407532739400187,0.110263012250799,0.0710987425460328,0.0042381738535875,0.0165573649251,0.0256885331102208,0.0484435148745993,0.0988533716369448,0.0585632256375,0.0358534358746125,0.0589118329917063,0.0533313411372375,0.0536802959728128,0.0783977229435759,0.129575348444288,0.0200713693632,0.0312993159949824
"18",255,0.006,0.0112815798531375,0.0218274234847125,0.0242848436157504,0.0204226306043673,0.0211250774209491,0.0137443298616024,0.0151510516499688,0.0151510516499688,0.00740899175176319,0.00881756787010558,0.0428517579761625,0.00811333168420081,0.104042319673623,0.153975980272529,0.103004898982678,0.0348028518309384,0.0967764935688,0.140927883471034,0.196043592513024,0.0393538037433375,0.201157559149267,0.0480942080064,0.0214762630368192,0.00846546273535587,0.0348028518309384,0.0204226306043673,0.0140960486776071,0.0165573649251,0.0165573649251,0.00881756787010558,0.00740899175176319,0.0207738666168744,0.0133925854326093,0.00177051799839356,0.00635228697437131,0.0284947169820672,0.0341023405056,0.0428517579761625,0.0316497799520121,0.0508880029925376,0.0456483971376561,0.0330513901687029,0.0190174340654589,0.0147994095515625,0.006,0.00318076441789437,0.0200713693632,0.0249867382943832,0.0863807845071,0.0613514415030456,0.0432014214282408,0.0634416426315072,0.0995454986913216,0.0953914924843008,0.104733831563933,0.0337520481933807,0.0302477764333917,0.0327010244157888,0.0228807540228096,0.0218274234847125,0.0697073515152984,0.0613514415030456,0.0630933327463611,0.0421523592495351,0.0355032655589952,0.0543781357431336,0.0756183064344087,0.173843316246355,0.0697073515152984,0.286970885547877,0.0193687711139736,0.0204226306043673,0.0637899297760125,0.0836053643191224,0.0749232323849949,0.0547270207183347,0.0585632256375,0.0344526083780433,0.0428517579761625,0.115787070406388,0.0787450513760256,0.00459059132023681,0.0151510516499688,0.0249867382943832,0.0491420577999171,0.0783977229435759,0.0641381942001048,0.0372538739529897,0.0658791762223443,0.0582145952594637,0.0550758824472,0.0818700264176169,0.139209095014643,0.0218274234847125,0.0369038008705536
"19",270,0.006,0.0123371982654216,0.0221785587848568,0.0232318140010737,0.0218274234847125,0.0211250774209491,0.0165573649251,0.0158542592707776,0.0147994095515625,0.00740899175176319,0.00705678283002508,0.0439006766110656,0.00811333168420081,0.105425262120113,0.177946836831437,0.113716143635448,0.0386539239077541,0.104042319673623,0.156376797180248,0.226339530348934,0.0397037074464768,0.200135031697995,0.0557735362468344,0.0225296689574799,0.00811333168420081,0.0362035818515928,0.0228807540228096,0.0151510516499688,0.0176118325734081,0.0158542592707776,0.0098737279782003,0.00916964710867769,0.0214762630368192,0.0140960486776071,0.0021231190037997,0.00529534785702958,0.0291960149112648,0.0365537035101639,0.0459978698452872,0.0337520481933807,0.0529823629744152,0.0473955233577816,0.0327010244157888,0.0186660717073728,0.0144477419008512,0.00635228697437131,0.0042381738535875,0.0197200828731447,0.0253376481750375,0.0829112940024,0.0637899297760125,0.0449493803853903,0.0651828513521817,0.104042319673623,0.0971226917924253,0.101275455534632,0.0334017314211576,0.0309488274363543,0.0334017314211576,0.0225296689574799,0.0214762630368192,0.0735328192468641,0.0655310250969,0.0679676091030129,0.0463473188008875,0.0334017314211576,0.0564710973038592,0.0756183064344087,0.180339489267575,0.0731851606278144,0.29743701337129,0.0197200828731447,0.0207738666168744,0.0644864359240119,0.0849932463052488,0.0763132923531513,0.0599575171136232,0.0592604173423104,0.0376039227777,0.0418026239345304,0.121995615967538,0.0763132923531513,0.00388573022779919,0.0155026682162979,0.0253376481750375,0.0522843365861184,0.0870744250934784,0.0683156024599176,0.0376039227777,0.0672715549359375,0.0648346549679616,0.0585632256375,0.0884614500462528,0.138865282472018,0.0225296689574799,0.0550758824472
"20",285,0.006,0.0116334783848448,0.0218274234847125,0.0239338587773163,0.0228807540228096,0.0225296689574799,0.0151510516499688,0.0158542592707776,0.0144477419008512,0.00740899175176319,0.00846546273535587,0.0439006766110656,0.00740899175176319,0.1209612963081,0.194679302683463,0.117857288472579,0.0418026239345304,0.110953797959541,0.173501250939353,0.2168201301453,0.0480942080064,0.222261075951809,0.0620482664448,0.0225296689574799,0.00811333168420076,0.0344526083780433,0.0225296689574799,0.0151510516499688,0.0179632709815752,0.0151510516499688,0.00846546273535587,0.00670454791097037,0.0218274234847125,0.0133925854326093,0.00141789069225387,0.00494298264797487,0.0295466267813019,0.0383039477348544,0.0487927981323624,0.0369038008705536,0.0561223283580591,0.0491420577999171,0.0344526083780433,0.0186660717073728,0.0133925854326093,0.00564768696762869,0.00459059132023676,0.0183146840194875,0.0246358034480301,0.0905413493527944,0.0690115218216,0.0487927981323624,0.0697073515152984,0.106462255806874,0.1036965331776,0.108190174239974,0.0362035818515928,0.0312993159949824,0.0344526083780433,0.0228807540228096,0.0225296689574799,0.0770081903030451,0.0655310250969,0.0724897768467,0.0466967440246848,0.0358534358746125,0.0575172653509899,0.0797869056505803,0.193655927526674,0.0822171372541416,0.324071473239088,0.0193687711139736,0.0200713693632,0.0704030917028352,0.0922740166104999,0.0804813661835661,0.0571685657800968,0.0616998653948127,0.0390038759038392,0.0442502683822677,0.129919663023341,0.0808285638157272,0.00564768696762869,0.0151510516499688,0.0246358034480301,0.0547270207183347,0.0933133640625,0.0714465345140739,0.0414528646247613,0.0731851606278144,0.0690115218216,0.0613514415030456,0.0884614500462528,0.14127158645256,0.0225296689574799,0.0404034425245896
"21",300,0.006,0.0116334783848448,0.0221785587848568,0.0260393931201609,0.0242848436157504,0.0218274234847125,0.0158542592707776,0.0183146840194875,0.0186660717073728,0.00881756787010558,0.0102257296496064,0.0452989006577664,0.0077611746964125,0.134049972918682,0.216479955280218,0.1347380963589,0.0445998363003,0.120616484349606,0.199112371854886,0.241277924877098,0.0512371215436257,0.24365225423013,0.0651828513521817,0.0246358034480301,0.0077611746964125,0.0358534358746125,0.0228807540228096,0.0155026682162979,0.0183146840194875,0.0151510516499688,0.0109296555668472,0.00881756787010558,0.0225296689574799,0.0137443298616024,0.0021231190037997,0.006,0.0312993159949824,0.0404034425245896,0.0494912938974912,0.0386539239077541,0.0571685657800968,0.0501896954636088,0.0341023405056,0.0214762630368192,0.0144477419008512,0.00635228697437126,0.0042381738535875,0.0186660717073728,0.0242848436157504,0.0943525225050501,0.0721420516441797,0.0505388609726079,0.0717943042067136,0.16323162689807,0.10680787987737,0.107499067402092,0.0365537035101639,0.0316497799520121,0.0355032655589952,0.0228807540228096,0.0225296689574799,0.0804813661835661,0.0700552327872231,0.0731851606278144,0.0508880029925376,0.0379539473649123,0.0592604173423104,0.0825642264423267,0.203883655923782,0.0832583399545893,0.356713209107251,0.0193687711139736,0.0197200828731447,0.0710987425460328,0.0995454986913216,0.0874212133288281,0.0620482664448,0.0665754106963221,0.0386539239077541,0.0442502683822677,0.128197901154486,0.0874212133288281,0.006,0.0155026682162979,0.0246358034480301,0.0568198431044625,0.0967764935688,0.0738804557118792,0.0414528646247613,0.0745756622607168,0.0693594478668333,0.0683156024599176,0.0971226917924253,0.147111770668361,0.0260393931201609,0.0445998363003
"22",315,0.006,0.0133925854326093,0.0309488274363543,0.0253376481750375,0.0246358034480301,0.0225296689574799,0.0147994095515625,0.0165573649251,0.0165573649251,0.00916964710867769,0.0214762630368192,0.0463473188008875,0.0077611746964125,0.149515047717386,0.213758060046711,0.14882848595496,0.0505388609726079,0.129231014988103,0.21716029129134,0.242973935323624,0.0603060325747875,0.26499532407767,0.0759658104,0.0260393931201609,0.00846546273535587,0.0358534358746125,0.0242848436157504,0.0169088795653983,0.0190174340654589,0.0158542592707776,0.00987372797820027,0.00740899175176319,0.0235828489125,0.0144477419008512,0.0021231190037997,0.006,0.0320002193276712,0.0425020705900032,0.0522843365861184,0.0404034425245896,0.0582145952594637,0.0501896954636088,0.0341023405056,0.0197200828731447,0.0144477419008512,0.00740899175176319,0.00494298264797487,0.0200713693632,0.0253376481750375,0.0978150259242711,0.0759658104,0.0543781357431336,0.0759658104,0.116822267754502,0.10991758939171,0.112335129905663,0.0386539239077541,0.0351530708845131,0.0369038008705536,0.0225296689574799,0.0221785587848568,0.0867276154929783,0.0742280700430875,0.0759658104,0.0512371215436257,0.0404034425245896,0.0616998653948127,0.0842993483661312,0.222601020344158,0.0888081530232789,0.391319387365708,0.0204226306043673,0.0200713693632,0.0770081903030451,0.105079556998675,0.0881147257849875,0.0669234940853112,0.0683156024599176,0.0393538037433375,0.0466967440246848,0.137489848789438,0.0950451900645375,0.00459059132023676,0.0151510516499688,0.0249867382943832,0.0603060325747875,0.1071534837357,0.0770081903030451,0.0456483971376561,0.0797869056505803,0.0787450513760256,0.0766607523140904,0.101275455534632,0.150887958957037,0.0270918238008,0.0470461455369069
"23",330,0.006,0.0155026682162979,0.0246358034480301,0.0267410384452227,0.0260393931201609,0.0232318140010737,0.0151510516499688,0.0183146840194875,0.0165573649251,0.0098737279782003,0.0211250774209491,0.0470461455369069,0.00740899175176319,0.1553479798491,0.261949067814719,0.1622038372125,0.0540292275013689,0.14573807734121,0.23143493902709,0.268379023463306,0.0623966446732353,0.2812275456,0.0926204867959296,0.0270918238008,0.00846546273535587,0.0362035818515928,0.0249867382943832,0.0197200828731447,0.0190174340654589,0.0172603687747584,0.0098737279782003,0.00846546273535587,0.0239338587773163,0.0162058248336357,0.0024756937287,0.00635228697437131,0.0334017314211576,0.0452989006577664,0.0547270207183347,0.0425020705900032,0.0599575171136232,0.0526333614641181,0.0358534358746125,0.0204226306043673,0.0155026682162979,0.00740899175176319,0.00635228697437131,0.0207738666168744,0.0253376481750375,0.106462255806874,0.0780503726402808,0.0585632256375,0.0797869056505803,0.122685065762738,0.114751695882086,0.120271652988058,0.0400535870334849,0.0362035818515928,0.0414528646247613,0.0239338587773163,0.0214762630368192,0.0898481344512,0.0780503726402808,0.0818700264176169,0.0547270207183347,0.0404034425245896,0.0603060325747875,0.0881147257849875,0.234490792146146,0.0922740166104999,0.410789718009862,0.0204226306043673,0.0207738666168744,0.0790923579578577,0.116132155848365,0.0974688692375064,0.0728374798345023,0.0724897768467,0.0435510609664659,0.0533313411372375,0.143333423072588,0.0988533716369448,0.00635228697437131,0.0151510516499688,0.0249867382943832,0.0648346549679616,0.113370919964986,0.0867276154929783,0.0484435148745993,0.0905413493527944,0.0801341468019264,0.0794396427093,0.111989826802483,0.156033875396198,0.0270918238008,0.0484435148745993
"24",345,0.006,0.0144477419008512,0.0246358034480301,0.0284947169820672,0.0270918238008,0.0242848436157504,0.0169088795653983,0.0183146840194875,0.0186660717073728,0.0119853511821969,0.0225296689574799,0.0477448775075367,0.0077611746964125,0.170764140417188,0.273790736856478,0.187171374229157,0.0616998653948127,0.159805066893389,0.247043124736359,0.28190337886745,0.0749232323849949,0.306545679492187,0.0964302745464027,0.0274425843120453,0.00846546273535592,0.0379539473649123,0.0253376481750375,0.0298972139486016,0.0207738666168744,0.0169088795653983,0.0102257296496064,0.00740899175176319,0.0235828489125,0.0158542592707776,0.00318076441789442,0.00705678283002508,0.0355032655589952,0.0501896954636088,0.0554247209499573,0.0456483971376561,0.0630933327463611,0.0529823629744152,0.0362035818515928,0.0207738666168744,0.0140960486776071,0.00740899175176319,0.00740899175176319,0.0214762630368192,0.0256885331102208,0.106462255806874,0.0898481344512,0.0610029947492709,0.0860339321156157,0.121650862096838,0.118892133106771,0.122340350516095,0.0425020705900032,0.0421523592495351,0.0407532739400187,0.0235828489125,0.0228807540228096,0.0981611618729472,0.0860339321156157,0.0915810130342125,0.0585632256375,0.0445998363003,0.0655310250969,0.0895014952055247,0.247721155165101,0.0991994454927219,0.459107914099506,0.0207738666168744,0.0204226306043673,0.0846463080890625,0.123374438431189,0.14573807734121,0.0780503726402808,0.0749232323849949,0.0459978698452872,0.0505388609726079,0.146768374155413,0.108190174239974,0.00705678283002508,0.0158542592707776,0.0253376481750375,0.0690115218216,0.12888666263456,0.0881147257849875,0.0526333614641181,0.0978150259242711,0.0867276154929783,0.0901947524935473,0.115787070406388,0.16288904725799,0.0309488274363543,0.0592604173423104
"25",360,0.006,0.0165573649251,0.0274425843120453,0.0288453783182625,0.0281440308824511,0.0249867382943832,0.0176118325734081,0.0190174340654589,0.0190174340654589,0.0119853511821969,0.0197200828731447,0.0477448775075367,0.0077611746964125,0.182048049814906,0.2981119471125,0.206268229643331,0.0658791762223443,0.178288692235525,0.2643184546875,0.31126626745851,0.0804813661835661,0.323734634180729,0.118202256221882,0.0291960149112648,0.00881756787010558,0.0390038759038392,0.0277933199991864,0.0183146840194875,0.0207738666168744,0.0179632709815752,0.0116334783848448,0.00811333168420081,0.0246358034480301,0.0165573649251,0.00353326042264408,0.00670454791097042,0.0369038008705536,0.0519352883201883,0.0592604173423104,0.0473955233577816,0.0641381942001048,0.0557735362468344,0.0358534358746125,0.0211250774209491,0.0158542592707776,0.0077611746964125,0.00705678283002508,0.0204226306043673,0.0256885331102208,0.112680413120321,0.0926204867959296,0.0623966446732353,0.0891548347362936,0.130952493699993,0.122340350516095,0.125097533734754,0.0449493803853903,0.0449493803853903,0.0456483971376561,0.0242848436157504,0.0221785587848568,0.104388085795658,0.0874212133288281,0.0967764935688,0.0630933327463611,0.0452989006577664,0.0662273047487424,0.0898481344512,0.269393924792513,0.105770946948473,0.5064356458899,0.0197200828731447,0.0207738666168744,0.0881147257849875,0.136458080273438,0.10680787987737,0.0808285638157272,0.0832583399545893,0.0487927981323624,0.0561223283580591,0.153975980272529,0.117857288472579,0.0077611746964125,0.0151510516499688,0.0253376481750375,0.0721420516441797,0.137145944389633,0.0967764935688,0.0557735362468344,0.106462255806874,0.0946988667448632,0.0981611618729472,0.124752953035137,0.171106336594349,0.0334017314211576,0.0627450001003464
